"File","FullPath","Score","Core","TileCore","Engine","PDFJS","PDFIUM","Render","Tiles","Scale","Lifecycle","TextLayer","Server","Backend"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\tileCoordinateUtils.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\tileCoordinateUtils.ts","285","","","INDEFINIDO","0","0","0","0","3","3","0","5","3"
"knexwriter\src\modules\Knexread\native-pdf-reader\services\translation\translationProviderRouter.service.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\services\translation\translationProviderRouter.service.ts","265","","","INDEFINIDO","0","0","0","0","0","1","0","0","16"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\layout\PagePairLayoutEngine.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\layout\PagePairLayoutEngine.ts","260","","","INDEFINIDO","0","0","0","7","0","0","0","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\server-tiles\serverTileFallbackPolicy.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\server-tiles\serverTileFallbackPolicy.ts","240","","","INDEFINIDO","0","0","0","0","0","0","0","5","11"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\pdfjs\PdfJsAnnotationExtractor.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\pdfjs\PdfJsAnnotationExtractor.ts","235","","","INDEFINIDO","0","0","2","0","0","0","0","0","11"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-mupdf\MuPdfTextExtractor.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-mupdf\MuPdfTextExtractor.ts","235","","","INDEFINIDO","0","0","0","0","0","0","2","0","13"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\cache\CachePolicy.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\cache\CachePolicy.ts","215","","","INDEFINIDO","0","0","0","4","0","3","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\rendering\RenderQueue.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\rendering\RenderQueue.ts","210","","","INDEFINIDO","0","0","0","0","0","6","0","1","3"
"knexwriter\src\modules\Knexread\native-pdf-reader\services\index.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\services\index.ts","210","","","INDEFINIDO","0","0","0","0","0","0","0","13","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-mupdf\MuPdfAnnotationExtractor.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-mupdf\MuPdfAnnotationExtractor.ts","210","","","INDEFINIDO","0","0","0","0","0","0","0","0","14"
